replicate,scenario,geometry,habitat_patches,graph_nodes,graph_edges,total_corridor_length,failed_edges,final_persistent_species,long_run_persistent_species,recent_persistent_species,persistent_species_per_length,final_mean_occupancy,recent_evenness,recent_regional_total,recent_regional_total_cv,recent_relative_trend_per_1000_steps,quasi_stationary_flag,species_extinctions,mean_extinction_step
5.000000,costly_movement,dendritic_tree,50.000000,85.000000,84.000000,7.100896,0.000000,11.000000,11.000000,11.000000,1.549100,0.486667,0.870977,9674.145541,0.000000,-0.000000,1.000000,1.000000,1055.000000
5.000000,costly_movement,hybrid_dendritic,50.000000,85.000000,90.000000,7.458025,0.000000,11.000000,11.000000,11.000000,1.474921,0.493333,0.870730,9697.459199,0.000000,0.000000,1.000000,1.000000,1209.000000
5.000000,edge_disturbance,nearest_web,50.000000,50.000000,86.000000,7.453681,11.000000,11.000000,11.000000,11.000000,1.475781,0.488333,0.870977,9763.722019,0.000000,0.000000,1.000000,1.000000,1769.000000
5.000000,edge_disturbance,minimum_spanning_tree,50.000000,50.000000,49.000000,3.684370,0.000000,11.000000,11.000000,11.000000,2.985585,0.496667,0.870439,9755.628654,0.000000,-0.000000,1.000000,1.000000,1552.000000
5.000000,edge_disturbance,dendritic_tree,50.000000,85.000000,84.000000,7.100896,0.000000,11.000000,11.000000,11.000000,1.549100,0.486667,0.870936,9724.025694,0.000000,-0.000000,1.000000,1.000000,1021.000000
5.000000,edge_disturbance,hybrid_dendritic,50.000000,85.000000,90.000000,7.458025,0.000000,11.000000,11.000000,11.000000,1.474921,0.496667,0.870691,9744.355825,0.000000,0.000000,1.000000,1.000000,1168.000000
6.000000,benign_long_run,nearest_web,50.000000,50.000000,103.000000,10.446768,0.000000,11.000000,11.000000,11.000000,1.052957,0.486667,0.869208,9927.646505,0.000000,0.000000,1.000000,1.000000,1587.000000
6.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,3.764721,0.000000,11.000000,11.000000,11.000000,2.921863,0.485000,0.868966,9915.208721,0.000000,0.000000,1.000000,1.000000,1538.000000
6.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,7.655831,0.000000,11.000000,11.000000,11.000000,1.436813,0.471667,0.868830,9923.597469,0.000000,-0.000000,1.000000,1.000000,2129.000000
6.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,8.369912,0.000000,11.000000,11.000000,11.000000,1.314231,0.486667,0.869735,9917.495354,0.000000,-0.000000,1.000000,1.000000,2541.000000
